id	name	x	y	db_id
1	CBD	0.0	0.0	1105879
2	E - 1	4.0	0.0	1105880
3	NE - 1	2.8284	2.8284	1105881
4	N - 1	0.0	4.0	1105882
5	NW - 1	-2.8284	2.8284	1105883
6	W - 1	-4.0	0.0	1105884
7	SW - 1	-2.8284	-2.8284	1105885
8	S - 1	0.0	-4.0	1105886
9	SE - 1	2.8284	-2.8284	1105887
10	E - 2	8.0	0.0	1105888
11	NE - 2	5.6569	5.6569	1105889
12	N - 2	0.0	8.0	1105890
13	NW - 2	-5.6569	5.6569	1105891
14	W - 2	-8.0	0.0	1105892
15	SW - 2	-5.6569	-5.6569	1105893
16	S - 2	0.0	-8.0	1105894
17	SE - 2	5.6569	-5.6569	1105895
18	E - 3	12.0	0.0	1105896
19	NE - 3	8.4853	8.4853	1105897
20	N - 3	0.0	12.0	1105898
21	NW - 3	-8.4853	8.4853	1105899
22	W - 3	-12.0	0.0	1105900
23	SW - 3	-8.4853	-8.4853	1105901
24	S - 3	0.0	-12.0	1105902
25	SE - 3	8.4853	-8.4853	1105903
26	E - 4	16.0	0.0	1105904
27	NE - 4	11.3137	11.3137	1105905
28	N - 4	0.0	16.0	1105906
29	NW - 4	-11.3137	11.3137	1105907
30	W - 4	-16.0	0.0	1105908
31	SW - 4	-11.3137	-11.3137	1105909
32	S - 4	0.0	-16.0	1105910
33	SE - 4	11.3137	-11.3137	1105911
