id	name	x	y	db_id
1	CBD	0.0	0.0	1105620
2	E - 1	4.0	0.0	1105621
3	NE - 1	2.8284	2.8284	1105622
4	N - 1	0.0	4.0	1105623
5	NW - 1	-2.8284	2.8284	1105624
6	W - 1	-4.0	0.0	1105625
7	SW - 1	-2.8284	-2.8284	1105626
8	S - 1	0.0	-4.0	1105627
9	SE - 1	2.8284	-2.8284	1105628
10	E - 2	8.0	0.0	1105629
11	NE - 2	5.6569	5.6569	1105630
12	N - 2	0.0	8.0	1105631
13	NW - 2	-5.6569	5.6569	1105632
14	W - 2	-8.0	0.0	1105633
15	SW - 2	-5.6569	-5.6569	1105634
16	S - 2	0.0	-8.0	1105635
17	SE - 2	5.6569	-5.6569	1105636
18	E - 3	12.0	0.0	1105637
19	NE - 3	8.4853	8.4853	1105638
20	N - 3	0.0	12.0	1105639
21	NW - 3	-8.4853	8.4853	1105640
22	W - 3	-12.0	0.0	1105641
23	SW - 3	-8.4853	-8.4853	1105642
24	S - 3	0.0	-12.0	1105643
25	SE - 3	8.4853	-8.4853	1105644
26	E - 4	16.0	0.0	1105645
27	NE - 4	11.3137	11.3137	1105646
28	N - 4	0.0	16.0	1105647
29	NW - 4	-11.3137	11.3137	1105648
30	W - 4	-16.0	0.0	1105649
31	SW - 4	-11.3137	-11.3137	1105650
32	S - 4	0.0	-16.0	1105651
33	SE - 4	11.3137	-11.3137	1105652
