id	name	x	y	db_id
34	CBD	0.0	0.0	7751
35	E - 1	4.0	0.0	7752
36	NE - 1	2.8284	2.8284	7753
37	N - 1	0.0	4.0	7754
38	NW - 1	-2.8284	2.8284	7755
39	W - 1	-4.0	0.0	7756
40	SW - 1	-2.8284	-2.8284	7757
41	S - 1	0.0	-4.0	7758
42	SE - 1	2.8284	-2.8284	7759
43	E - 2	8.0	0.0	7760
44	NE - 2	5.6569	5.6569	7761
45	N - 2	0.0	8.0	7762
46	NW - 2	-5.6569	5.6569	7763
47	W - 2	-8.0	0.0	7764
48	SW - 2	-5.6569	-5.6569	7765
49	S - 2	0.0	-8.0	7766
50	SE - 2	5.6569	-5.6569	7767
51	E - 3	12.0	0.0	7768
52	NE - 3	8.4853	8.4853	7769
53	N - 3	0.0	12.0	7770
54	NW - 3	-8.4853	8.4853	7771
55	W - 3	-12.0	0.0	7772
56	SW - 3	-8.4853	-8.4853	7773
57	S - 3	0.0	-12.0	7774
58	SE - 3	8.4853	-8.4853	7775
59	E - 4	16.0	0.0	7776
60	NE - 4	11.3137	11.3137	7777
61	N - 4	0.0	16.0	7778
62	NW - 4	-11.3137	11.3137	7779
63	W - 4	-16.0	0.0	7780
64	SW - 4	-11.3137	-11.3137	7781
65	S - 4	0.0	-16.0	7782
66	SE - 4	11.3137	-11.3137	7783
200	E - 5	20.0	0.0	7814
201	E - 6	24.0	0.0	22524
